Restaurant,Menu Header,Menu Item,Rate,What people love here
CULT,Breads,Atta Butter Roti,25,"Dal Makhani, Nalli Nihari"
CULT,Breads,Hari Mirch Ki Roti,30,"Dal Makhani, Nalli Nihari"
CULT,Breads,Naan,35,"Dal Makhani, Nalli Nihari"
CULT,Breads,Garlic Naan,45,"Dal Makhani, Nalli Nihari"
CULT,Breads,Tomato Cheese Naan,55,"Dal Makhani, Nalli Nihari"
CULT,Breads,Missi Roti,35,"Dal Makhani, Nalli Nihari"
CULT,Breads,Laccha Paratha,35,"Dal Makhani, Nalli Nihari"
CULT,Breads,Laal Mirch Ka Paratha,35,"Dal Makhani, Nalli Nihari"
CULT,Breads,Pudina Paratha,35,"Dal Makhani, Nalli Nihari"
CULT,Breads,Aloo Kulcha,45,"Dal Makhani, Nalli Nihari"
CULT,Breads,Paneer Kulcha,45,"Dal Makhani, Nalli Nihari"
CULT,Breads,Veg Kulcha,45,"Dal Makhani, Nalli Nihari"
CULT,Breads,Bread Basket,145,"Dal Makhani, Nalli Nihari"
CULT,Breads,Culture Special Mawa Paratha [Chefs Special],95,"Dal Makhani, Nalli Nihari"
CULT,Breads,Murg Kulcha,85,"Dal Makhani, Nalli Nihari"
CULT,Rice and Biryani,Steamed Rice,145,"Dal Makhani, Nalli Nihari"
CULT,Rice and Biryani,Jeera Rice,165,"Dal Makhani, Nalli Nihari"
CULT,Rice and Biryani,Veg Hyderabadi Biryani,245,"Dal Makhani, Nalli Nihari"
CULT,Rice and Biryani,Chicken Hyderabadi Biryani,315,"Dal Makhani, Nalli Nihari"
CULT,Rice and Biryani,Mutton Hyderabadi Biryani,345,"Dal Makhani, Nalli Nihari"
CULT,Rice and Biryani,Zafrani Pulao,345,"Dal Makhani, Nalli Nihari"
CULT,Fried Rice and Noodles,Veg Hakka Noodles,225,"Dal Makhani, Nalli Nihari"
CULT,Fried Rice and Noodles,Fried Rice,195,"Dal Makhani, Nalli Nihari"
CULT,Fried Rice and Noodles,Chilli Tikka Rice,225,"Dal Makhani, Nalli Nihari"
CULT,Accompaniments,Garden Fresh Green Salad,95,"Dal Makhani, Nalli Nihari"
CULT,Accompaniments,Mint Raita,135,"Dal Makhani, Nalli Nihari"
CULT,Accompaniments,Veg Raita,135,"Dal Makhani, Nalli Nihari"
CULT,Accompaniments,Boondi Raita ,135,"Dal Makhani, Nalli Nihari"
CULT,Accompaniments,Pineapple Fruit Raita,135,"Dal Makhani, Nalli Nihari"
CULT,Desserts,Fruit Salad,155,"Dal Makhani, Nalli Nihari"
CULT,Desserts,Shahi Tukda,155,"Dal Makhani, Nalli Nihari"
CULT,Desserts,Shahi Gulab Jamun,155,"Dal Makhani, Nalli Nihari"
CULT,Desserts,Kesar Kulfi,105,"Dal Makhani, Nalli Nihari"
CULT,Desserts,Culture Special [Chef's Special],195,"Dal Makhani, Nalli Nihari"
Flas,VEGETARIAN (Breakfast) INDIAN,INDIAN (Stuffed Paratha with Curd/Puri Bhaji /Chhole Bhature & Pickle) T ea / Coffee / Milk / Lassi,130,
Flas,VEGETARIAN (Breakfast) INDIAN,"CONTINENTAL (Choice of Fruit Juice ( Preserved )
Bread / Toast with Jam / Butter Tea/Coffee )",130,
Flas,VEGETARIAN (Breakfast) INDIAN,AMERICAN (Choice of Fruit Juice (Preserved ) Cornflakes with milk Bread / Toast with Jam/Butter Tea / Coffee),170,
Flas,Bread,Toast with Jam/Butter,45,
Flas,Bread,Puri Bhaji,120,
Flas,Bread,Extra Puri (4 pcs),60,
Flas,Bread,Chole Bhatura,120,
Flas,Bread,Extra Bhatura,30,
Flas,Bread,Stuffed Paratha With Curd & Pickle,120,
Flas,Bread,Poha,45,
Flas,TIT-BITS (LIGHT SNACKS),Papad (Roast / Fried),15,
Flas,TIT-BITS (LIGHT SNACKS),Masala Papad,25,
Flas,TIT-BITS (LIGHT SNACKS),Peanut ( Plain / Butter Fry),50/70,
Flas,TIT-BITS (LIGHT SNACKS),Chaat ( Peanut / Aloo / Chana / Ccm,80,
Flas,TIT-BITS (LIGHT SNACKS),French Fries,80,
Flas,TIT-BITS (LIGHT SNACKS),Veg Cutlets (4pcs),120,
Flas,TIT-BITS (LIGHT SNACKS),Pakoda (Veg/ Paneer),90/130,
Flas,TIT-BITS (LIGHT SNACKS),Sandwich (Veg/Chutney/Jam),45,
Flas,TIT-BITS (LIGHT SNACKS),Sandwich (Cheese / Veg Club ),80/120,
Flas,TIT-BITS (LIGHT SNACKS),Butter cube(4pcs),120,
Flas,BEVERAGES,Tea,25,
Flas,BEVERAGES,Tea ( Masala / Lemon / Green ),35,
Flas,BEVERAGES,Hot Coffee,35,
Flas,BEVERAGES,Cold Coffee,60,
Flas,BEVERAGES,Cold Coffee with Ice Green,60,
Flas,BEVERAGES,Milk (Plain/Boumvita),50/60,
Flas,BEVERAGES,Fruit Juice preserved),70,
Flas,BEVERAGES,Milk Shake (Vanilla / Butter Scotch),70,
Flas,BEVERAGES,Jaljeera (Water / Soda),40/80,
Flas,BEVERAGES,Butter Milk (Chhanch / Pudia Mattha),45,
Flas,BEVERAGES,Fresh Lime Water / Soda,40/60,
Flas,BEVERAGES,Lassi ( Sweet / Salted),60,
Flas,BEVERAGES,Aerated Drink (C.C.),30,
Flas,BEVERAGES,Soda (C.C.),25,
Flas,BEVERAGES,Coke / Fanta float,80,
Flas,BEVERAGES,Packaged Drinking Water (C.C),28,
Flas,SALAD,Onion / Green,35/50,
Flas,SALAD,Punjabi / Kachumber,55/60,
Flas,YOGURTS,Plain Curd,50,
Flas,YOGURTS,Raita ( Boondi/Veg/Aloo/Pudina/Mix),70,
Flas,SOUPS,Cream Soup-Tomato / Mushroom,90,
Flas,SOUPS,Sweet Com,90,
Flas,SOUPS,Hot n Sour,90,
Flas,SOUPS,Manchow,90,
Flas,SOUPS,Veg Clear,90,
Flas,STARTERS,Chilly Paneer / Paneer 65,180,
Flas,STARTERS,Aloo 65,165,
Flas,STARTERS,Crispy Honey Chilly Potato,165,
Flas,STARTERS,Crispy Com,165,
Flas,STARTERS,Veg Crispy / Kothey,165,
Flas,STARTERS,Veg Manchurian,165,
Flas,STARTERS,Veg Lollipop,165,
Flas,STARTERS,Chilly Mushroom / Baby Com (Dry/Gravy),180,
Flas,STARTERS,Golden Fned Chilli Mushroom / Baby Com,180,
Flas,STARTERS,Schezwan ( Veg / Paneer),165/180,
Flas,STARTERS,Paneer Garlic Sautey,180,
Flas,VEG MAIN-COURSE,Aloo ( Jeera / Achan Masala ),130,
Flas,VEG MAIN-COURSE,Aloo Mutter,160,
Flas,VEG MAIN-COURSE,Aloo Gobhi Mutter,150,
Flas,VEG MAIN-COURSE,Dum Aloo- Punjabi,160,
Flas,VEG MAIN-COURSE,Mix Veg,150,
Flas,VEG MAIN-COURSE,Veg( Jaipori/Kolhapun/atfrezi),160,
Flas,VEG MAIN-COURSE,Veg Kadhai,160,
Flas,VEG MAIN-COURSE,Bhindi (Masala / Do Pyaza / Kurfcuri / Achari),160,
Flas,VEG MAIN-COURSE,Com Palak / Mushroom Palak,160,
Flas,VEG MAIN-COURSE,Mushroom / Baby Com Masala,180,
Flas,VEG MAIN-COURSE,Kofta (Veg / Hanyali / Hyderabadi / Amntsari / Paneer),180,
Flas,VEG MAIN-COURSE,Butter Paneer Masala,190,
Flas,VEG MAIN-COURSE,Paneer ( Hyderabadi / Kolhapun Lababdar / Do Pyaaza),180,
Flas,VEG MAIN-COURSE,Paneer ( Kadhai / Handi / Bhurji / Palak / Mutter / Methi),180,
Flas,VEG MAIN-COURSE,Sev Tamater,130,
Flas,VEG MAIN-COURSE,Chana Masala / Punjabi Chole,150,
Flas,VEG MAIN-COURSE,Rajma,110,
Flas,VEG MAIN-COURSE,Chef Special,195,
Flas,DALS,Dal Fry /Tadka/Yellow,120,
Flas,DALS,Mix Dal,130,
Flas,RICE PREPARATIONS & NOODLES,RICE (STEAM),110,
Flas,RICE PREPARATIONS & NOODLES,RICE (JEERA),120,
Flas,RICE PREPARATIONS & NOODLES,CURD RICE,120,
Flas,RICE PREPARATIONS & NOODLES,BUTTER KHICHDI,140,
Flas,RICE PREPARATIONS & NOODLES,PULAO(PEAS/VEG),140,
Flas,RICE PREPARATIONS & NOODLES,KASHMIRI PULAO,150,
Flas,RICE PREPARATIONS & NOODLES,BIRYANI(VEG DUM/HAYDERABADI),170,
Flas,RICE PREPARATIONS & NOODLES,VEG FRIED RICE,160,
Flas,RICE PREPARATIONS & NOODLES,FRIED RICE(MUSHROOM / TRIPLE SCHEZWAN),190,
Flas,RICE PREPARATIONS & NOODLES,VEG HAKKA NOODLES,160,
Flas,RICE PREPARATIONS & NOODLES,NOODLE (SINGAPORE/CHILLY GARLIC),170,
Flas,INDIAN BREADS,TAWA ROTI (PLAIN/BUTTE),15/19,
Flas,INDIAN BREADS,PARATHA (PLAIN),25,
Flas,INDIAN BREADS,PARATHA (LACHACHA),30,
Flas,INDIAN BREADS,PARATHA (STUFFED),35,
Flas,INDIAN BREADS,PARATHA (PANEER),50,
Flas,INDIAN BREADS,LACHCHA PARATHA,30,
Flas,DESSERTS & ICE CREAMS,GULAB JAMUN (2PCS),50,
Flas,DESSERTS & ICE CREAMS,GULAB JAMUN WITH ICE CREAM,75,
Flas,DESSERTS & ICE CREAMS,ICE CREAM (VANILLA/ BUTTER SCOTCH),50/60,
Flas,VEGETARIAN STARTERS,JARA BHARA KEBAB,110,
Flas,VEGETARIAN STARTERS,DAHI KEBAB,140,
Flas,VEGETARIAN STARTERS,VEG SEEKH KEBAD,140,
Flas,VEGETARIAN STARTERS,VEG MALALI KEBAB,150,
Flas,VEGETARIAN STARTERS,TANDOORI ALOO/GOBHI,150,
Flas,VEGETARIAN STARTERS,TANDOORI MUSHROM/ BABY COM,180,
Flas,VEGETARIAN STARTERS,PANEER TIKKA,190,
Flas,VEGETARIAN STARTERS,PANEER LAHSUNI/MALAI/PUDINA/PAHADI/HYDERABADI TIKKA,200,
Flas,VEGETARIAN STARTERS,MUSHROOM TIKKA,200,
Flas,VEGETARIAN STARTERS,CHEF SPECIAL,210,
Flas,VEG MAIN COURSE,PANEER TIKKA MASALA,190,
Flas,INDIAN BREADS,TANDOORI ROTI (PLAIN/BUTTER),15/19,
Flas,INDIAN BREADS,ROTI (MISSI /KHASTA),25,
Flas,INDIAN BREADS,NAAN (PAIN/BUTTER/STUFFED/CHILLY GARLIC/CHEESE),25/30/40/40/50,
Flas,INDIAN BREADS,KULCHA (BUTTER/STUFFED),30/35,
Flas,VEG PUNJABI SPEACIAL MEAL,AMRITSARI KULCH (2 PCS ) WITH PUNJABI CHOLE LASSI / AERATED DRINKS,160,
Flas,NON-VEGETARIAN (BREAKFAST) INDIAN,Choce of Paratha,130,
Flas,NON-VEGETARIAN (BREAKFAST) INDIAN,Choce of Egg Preparation,130,
Flas,NON-VEGETARIAN (BREAKFAST) INDIAN,Tea / Coffoo,130,
Flas,NON-VEGETARIAN (BREAKFAST) CONTINENTAL,Choco Of Fruit Juice (Preserved ),140,
Flas,NON-VEGETARIAN (BREAKFAST) CONTINENTAL,Choico of Egg Proportion wrth Broad / Toast,140,
Flas,NON-VEGETARIAN (BREAKFAST) CONTINENTAL,Tea/Coffoe,140,
Flas,NON-VEGETARIAN (BREAKFAST) AMERICAN,Choce of Fruit Juico ( Preserved ),170,
Flas,NON-VEGETARIAN (BREAKFAST) AMERICAN,Cornflakes with mill,170,
Flas,NON-VEGETARIAN (BREAKFAST) AMERICAN,Choce of Egg Preparation,170,
Flas,NON-VEGETARIAN (BREAKFAST) AMERICAN,Bread / Toast with Jam / Butter),170,
Flas,TTT-BITS(LIGHT.SNACKS),Boiled Egg,40,
Flas,TTT-BITS(LIGHT.SNACKS),Egg (Fried / Poached /Scrambied),60,
Flas,TTT-BITS(LIGHT.SNACKS),Omelette (Plain / Masala) with Bread Slice,60,
Flas,TTT-BITS(LIGHT.SNACKS),Cheese masala Omelette  with Bread slice,80,
Flas,TTT-BITS(LIGHT.SNACKS),Egg Bhurji / Egg Pakoda,60/70,
Flas,TTT-BITS(LIGHT.SNACKS),Chicken Pakoda,160,
Flas,TTT-BITS(LIGHT.SNACKS),Chicken Sandwich ,110,
Flas,TTT-BITS(LIGHT.SNACKS),chicken Cutiets (4 PCS),190,
Flas,SOUPS,chicken Sweet Corn,110,
Flas,SOUPS,chickenHot n Sour,110,
Flas,SOUPS,Chicken Manchow,110,
Flas,SOUPS,Chicken Noodle Soup,110,
Flas,SOUPS,Chicken Lemon Coriander,110,
Flas,SOUPS,Chicken clear,110,
Flas,STARTERS,Chicken Chilly Manchurian,210,
Flas,STARTERS,chicken 65 / Schezwan,210,
Flas,STARTERS,crispy honey chicken,230,
Flas,STARTERS,Chicken Back Pepper,210,
Flas,STARTERS,Chicken Bhuna,210,
Flas,STARTERS,Garlic pepper Chicken,210,
Flas,STARTERS,Fish -Finger/Fry/Tawa/Chilly,210,
Flas,NON-VEG MAIN COURSE,EGG CURRY,130,
Flas,NON-VEG MAIN COURSE,BUTTER CHICKEN FULL,400,
Flas,NON-VEG MAIN COURSE,BUTTER CHICKEN HALF,230,
Flas,NON-VEG MAIN COURSE,CHICKEN IN HOT GARLIC SAUCE,210,
Flas,NON-VEG MAIN COURSE,CHICKEN -KADHAI/HANDI/MASALA,230,
Flas,NON-VEG MAIN COURSE,CHICKEN GHARWALA,230,
Flas,NON-VEG MAIN COURSE,Chicken Hyderabadi /KOLHAPURI,230,
Flas,NON-VEG MAIN COURSE,CHICKEN TAWA ,240,
Flas,NON-VEG MAIN COURSE,FISH CURRY/ Bengali,210,
Flas,RICE PREPARATIONS S NOODLES,Fried Rice ( Egg ),180,
Flas,RICE PREPARATIONS S NOODLES,Fried Rice (Chicken),210,
Flas,RICE PREPARATIONS S NOODLES,Fried Rice (Triple Schezwan Chicken),250,
Flas,RICE PREPARATIONS S NOODLES,Chicken Hakka Noodles,210,
Flas,RICE PREPARATIONS S NOODLES,Chicken Noodles (Singapore / Chilly Garlic / Manchow ),230,
Flas,RICE PREPARATIONS S NOODLES,Chicken Biryani ( Hyderabadi / Dum ),220,
Flas,RICE PREPARATIONS S NOODLES,Egg Biryani,170,
Flas,NON -VEGETARIAN(STARTERS),Tandoori Chicken Full / Half,300,
Flas,NON -VEGETARIAN(STARTERS),Chicken Tikka,220,
Flas,NON -VEGETARIAN(STARTERS),Chicken Tikka ( Pudma / Lahsuni / Pahadi,250,
Flas,NON -VEGETARIAN(STARTERS),Chicken Kalimirch,200,
Flas,NON -VEGETARIAN(STARTERS),Chicken Tangdi Kebab (2pcs.),230,
Flas,NON -VEGETARIAN(STARTERS),Fisn Tikka,230,
Flas,NON -VEGETARIAN(STARTERS),Fish Tikka ( Amritsari / Lucknowi / laziz ),250,
Flas,NON -VEGETARIAN(STARTERS),Chef Special,260,
Flas,NON -VEQ MAIN COURSE,Butter Chicken Full / Half,400/230,
Flas,NON -VEQ MAIN COURSE,Chicken Tikka Masala,230,
Flas,NON -VEQ MAIN COURSE,Dahi Chicken,230,
Flas,NON -VEG PUNJABI MEAl,Amritsari Kulcha ( 2 pcs ) with Butter Chicken Lassi / Aerated drink,200,
Flas,Starters,Tandoori Murgh Half,221,
Flas,Starters,Tandoori Murgh Full,339,
Flas,Main Course,Paneer Tikka Masala Small [300 ml],179,
Flas,Main Course,Paneer Tikka Masala Standard [500 ml],229,
Flas,Main Course,Murgh Curry Home Style Small [300 ml],169,
Flas,Main Course,Murgh Curry Home Style Small [500 ml],229,
Flas,Main Course,Murgh Makhamali [Full],459,
Flas,Rice and Biryani,"Murgh Hyderabadi Dum Biryani [Standard, 500 ml]",249,
Flas,Breads,"
Plain Tandoori Roti",12,
Flas,Veg Soups,Sweet Corn Soup,99,
Flas,Veg Soups,"
Hot n Sour Soup",99,
Flas,Veg Soups,"
Manchow Soup",99,
Flas,Veg Soups,Lemon Coriander Soup,111,
Flas,Veg Soups,"
Cream of Tomato Soup",99,
Flas,Veg Soups,Cream of Mushroom Soup,111,
Flas,Non Veg Soups,Cream of Chicken Soup,131,
Flas,Non Veg Soups,Sweet Corn Chiken Soup,131,
Flas,Non Veg Soups,Hot n Sour Chicken Soup,131,
Flas,Non Veg Soups,Manchow Chicken Soup,131,
Flas,Non Veg Soups,Lemon Coriander Chicken Soup,131,
Flas,Veg Tandoori Starters,Subz Soola Kebab,159,
Flas,Veg Tandoori Starters,Subz Tandoori Tikka,169,
Flas,Veg Tandoori Starters,Birbali Seekh Kebab,189,
Flas,Veg Tandoori Starters,Tandoori Khumb ,221,
Flas,Veg Tandoori Starters,Paneer Tikka,221,
Flas,Veg Tandoori Starters,Paneer Pudina Tikka,221,
Flas,Veg Tandoori Starters,Paneer Malai Tikka,229,
Flas,Veg Tandoori Starters,Tandoon Najakat,249,
Flas,Veg Tandoori Starters,Tandoori Paneer Platter,399,
Flas,Non Veg Tandoori Starters,Murga Tikka,239,
Flas,Non Veg Tandoori Starters,Murgh Banjara Kebab,239,
Flas,Non Veg Tandoori Starters,Murgh Peshwari Tikka,259,
Flas,Non Veg Tandoori Starters,Murgh Hazari Tikka,249,
Flas,Non Veg Tandoori Starters,Murgh Malai Tikka,249,
Flas,Non Veg Tandoori Starters,Tandoori Murgh Half,221,
Flas,Non Veg Tandoori Starters,Tandoori Murgh Full,339,
Flas,Non Veg Tandoori Starters,Tandoori Tangdi,221,
Flas,Non Veg Tandoori Starters,Tangdi Kebeb,239,
Flas,Non Veg Tandoori Starters,Mutton Pudina Seekh Kebab,299,
Flas,Non Veg Tandoori Starters,Machhi Dum Ajwani Tikka,259,
Flas,Non Veg Tandoori Starters,Machhi Kalimirch Tikka,269,
Flas,Non Veg Tandoori Starters,Machhi Hariyali Tikka,269,
Flas,Non Veg Tandoori Starters,Tandoori Non Veg Platter,666,
Flas,Veg Deep Fried Starters,Makai Ke Kebab,169,
Flas,Veg Deep Fried Starters,Hara Bhara Kebab,159,
Flas,Veg Deep Fried Starters,Paneer Amritsari,221,
Flas,Veg Deep Fried Starters,Finger Chips,129,
Flas,Non Veg Deep Fried Starters,Murgh Pahadi,249,
Flas,Non Veg Deep Fried Starters,Machchi Amritsari,259,
Flas,Non Veg Deep Fried Starters,Machchi Kerari,269,
Flas,Chinese Veg Starters,Veg Kothe ,169,
Flas,Chinese Veg Starters,Potato Sixty Five,179,
Flas,Chinese Veg Starters,Chilly Paneer,221,
Flas,Chinese Veg Starters,Dragon Roll,249,
Flas,Chinese Veg Starters,Crispy Chilly Baby Corn,221,
Flas,Chinese Veg Starters,Mushroom Hakka Style,221,
Flas,Chinese Veg Starters,Crispy Corn,199,
Flas,Chinese Non Veg Starters,Spicy Honey Chicken,249,
Flas,Chinese Non Veg Starters,Smoked Chicken,259,
Flas,Chinese Non Veg Starters,Sesame Chicken,249,
Flas,Chinese Non Veg Starters,Chicken Lollypop Half,179,
Flas,Chinese Non Veg Starters,Chicken Lollypop Full,279,
Flas,Chinese Non Veg Starters,Honey Chilly Wings,269,
Flas,Chinese Non Veg Starters,Chilly Chicken,249,
Flas,Chinese Non Veg Starters,Fish Fingers,269,
Flas,Chinese Non Veg Starters,Spicy Fish Fry,259,
Flas,Chinese Non Veg Starters,Fish N Chips,269,
Flas,Indian Veg Main Course,Paneer Makhani Small [300 ml],169,
Flas,Indian Veg Main Course,Paneer Makhani Standard [500 ml],221,
Flas,Indian Veg Main Course,Paneer Kadai Small [300 ml],169,
Flas,Indian Veg Main Course,Paneer Kadai Standard [500 ml],221,
Flas,Indian Veg Main Course,Palak Paneer Small [300 ml],169,
Flas,Indian Veg Main Course,Palak Paneer Standard [500 ml],221,
Flas,Indian Veg Main Course,Panoer Kasturi Small [300 ml],179,
Flas,Indian Veg Main Course,Panoer Kasturi Standard [500 ml],229,
Flas,Indian Veg Main Course,Paneer Aurangbadi Small [300 ml],179,
Flas,Indian Veg Main Course,Paneer Aurangbadi Standard [500 ml],229,
Flas,Indian Veg Main Course,Paneer Shahi Small [300 ml],189,
Flas,Indian Veg Main Course,Paneer Shahi Standard [500 ml],239,
Flas,Indian Veg Main Course,Paneer Tikka Masala Small [300 ml],179,
Flas,Indian Veg Main Course,Paneer Tikka Masala Standard [500 ml],229,
Flas,Indian Veg Main Course,Paneer Jalfrezi Small [300 ml],169,
Flas,Indian Veg Main Course,Paneer Jalfrezi Standard [500 ml],221,
Flas,Indian Veg Main Course,Chhola Paneer Punjabi Small [300 ml],159,
Flas,Indian Veg Main Course,Chhola Paneer Punjabi Standard [500 ml],199,
Flas,Indian Veg Main Course,Matar Paneer Small [300 ml],159,
Flas,Indian Veg Main Course,Matar Paneer Standard [500 ml],199,
Flas,Indian Veg Main Course,Khumb Do Pyaza Small [300 ml],159,
Flas,Indian Veg Main Course,Khumb Do Pyaza Standard [500 ml],199,
Flas,Indian Veg Main Course,Kadai Baby Corn Mushroom Small [300 ml],179,
Flas,Indian Veg Main Course,Kadai Baby Corn Mushroom Standard [500 ml],229,
Flas,Indian Veg Main Course,Kaju Paneer Makhmali Small [300 ml],189,
Flas,Indian Veg Main Course,Kaju Paneer Makhmali Standard [500 ml],249,
Flas,Indian Veg Main Course,Corn Methi Malai Small [300 ml],179,
Flas,Indian Veg Main Course,Corn Methi Malai Standard [500 ml],229,
Flas,Indian Veg Main Course,Aftabi Veg Small [300 ml],159,
Flas,Indian Veg Main Course,Aftabi Veg Standard [500 ml],199,
Flas,Indian Veg Main Course,Subzi E Lazeez Small [300 ml],169,
Flas,Indian Veg Main Course,Subzi E Lazeez Standard [500 ml],299,
Flas,Indian Veg Main Course,Shahi Palak Korma,199,
Flas,Indian Veg Main Course,Rasbhare Kofte Small [300 ml],159,
Flas,Indian Veg Main Course,Rasbhare Kofte Standard [500 ml],199,
Flas,Indian Veg Main Course,Hariyali Kofte Small [300 ml],149,
Flas,Indian Veg Main Course,Hariyali Kofte Standard [500 ml],199,
Flas,Indian Veg Main Course,Corn Tomato Bharta Small [300 ml],159,
Flas,Indian Veg Main Course,Corn Tomato Bharta Standard [500 ml],221,
Flas,Indian Veg Main Course,Kadai Veg Small [300 ml],149,
Flas,Indian Veg Main Course,Kadai Veg Standard [500 ml],189,
Flas,Indian Veg Main Course,Punjabi Chhole Small [300 ml],141,
Flas,Indian Veg Main Course,Punjabi Chhole Standard [500 ml],169,
Flas,Indian Veg Main Course,Lahsooni Palak Small [300 ml],141,
Flas,Indian Veg Main Course,Lahsooni Palak Standard [500 ml],169,
Flas,Indian Veg Main Course,AIoo Kabila Small [300 ml],121,
Flas,Indian Veg Main Course,AIoo Kabila Standard [500 ml],159,
Flas,Indian Veg Main Course,Aloo Matar Tamatar Small [300 ml],99,
Flas,Indian Veg Main Course,Aloo Matar Tamatar Standard [500 ml],139,
Flas,Indian Veg Main Course,Dum AIoo,189,
Flas,Indian Veg Main Course,Aloo Matar Small [300 ml],121,
Flas,Indian Veg Main Course,Aloo Matar Standard [500 ml],159,
Flas,Indian Veg Main Course,AIoo Methiwala Small [300 ml],121,
Flas,Indian Veg Main Course,AIoo Methiwala Standard [500 ml],159,
Flas,Indian Veg Main Course,Aloo Gobhi Achari Masala,159,
Flas,Indian Veg Main Course,Bhindi do Pyaza,159,
Flas,Indian Veg Main Course,Dal Makhani,169,
Flas,Indian Veg Main Course,Dal Tadka,141,
Flas,Indian Veg Main Course,Shahi Palak Korma,199,
Flas,Indian Veg Main Course,Sev Tamatar,159,
Flas,Indian Non Veg Main Course,Egg Curry,149,
Flas,Indian Non Veg Main Course,Murgh Khada Masala Small [300 ml],179,
Flas,Indian Non Veg Main Course,Murgh Khada Masala Standard [500 ml],249,
Flas,Indian Non Veg Main Course,Murgh Khada Masala [Full],425,
Flas,Indian Non Veg Main Course,Murgh Rajala Small [300 ml],179,
Flas,Indian Non Veg Main Course,Murgh Rajala Standard [500 ml],249,
Flas,Indian Non Veg Main Course,Murgh Rajala [Full],425,
Flas,Indian Non Veg Main Course,Murgh Curry Home Style Small [300 ml],169,
Flas,Indian Non Veg Main Course,Murgh Curry Home Style Standard [500 ml],229,
Flas,Indian Non Veg Main Course,Murgh Curry Home Style [Full],425,
Flas,Indian Non Veg Main Course,Murgh Maratha Small [300 ml],199,
Flas,Indian Non Veg Main Course,Murgh Maratha Standard [500 ml],259,
Flas,Indian Non Veg Main Course,Murgh Maratha [Full],429,
Flas,Indian Non Veg Main Course,Murgh Makhamali Small [300 ml],199,
Flas,Indian Non Veg Main Course,Murgh Makhamali Standard [500 ml],279,
Flas,Indian Non Veg Main Course,Murgh Makhamali [Full],459,
Flas,Indian Non Veg Main Course,Murgha Malwa,289,
Flas,Indian Non Veg Main Course,Murgh Hyderabadi,259,
Flas,Indian Non Veg Main Course,Murgh Kandhari,259,
Foos,Indian Non Veg Main Course,Gosht Rogan Josh Small [300 ml],199,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Gosht Rogan Josh Standard [500 ml],349,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Bhuna Gosht Small [300 ml],199,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Bhuna Gosht Standard [500 ml],349,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Hara Bhara Gosht Small [300 ml],199,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Hara Bhara Gosht Standard [500 ml],349,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Patthar Ka Gosht Small [300 ml],211,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Patthar Ka Gosht Standard [500 ml],359,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Gosht Sarsoanwala Small [300 ml],211,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Gosht Sarsoanwala Standard [500 ml],359,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Keema Kaleii Small [300 ml],221,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Keema Kaleii Standard [500 ml],339,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Currywali Small [300 ml],179,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Currywali Standard [500 ml],249,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Raseeli Small [300 ml],179,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Raseeli Standard [500 ml],259,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Malwani Small [300 ml],179,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Malwani Standard [500 ml],269,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Bongolicurry Small [300 ml],179,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machchi Bongolicurry Standard [500 ml],249,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machhi Currywali Small [300 ml],179,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Indian Non Veg Main Course,Machhi Currywali Standard [500 ml],249,"Butter Chicken, Tandoori Chicken, Dum Biryani"
Foos,Chinese Veg Main Course,Paneer in Choice of Sauce Garlic Sauce,221,"Butter Chicken, Tandoori Chicken, Dum Biryani"
